evm.model.chr7.2	sp|Q9VCX3|RM45_DROME	52.3	287	128	3	40	317	53	339	3.52e-101	305
evm.model.chr7.3.1.6720f717	sp|Q9VEJ2|NOP14_DROME	39.8	885	450	11	26	901	37	847	1.51e-141	444
evm.model.chr7.5.1.6720f717	sp|Q6PHK6|PURB_DANRE	49.2	254	94	6	27	246	21	273	1.66e-71	229
evm.model.chr7.7	sp|P58742|AAAS_MOUSE	28.5	431	280	9	75	492	69	484	3.89e-61	213
evm.model.chr7.8	sp|Q8NEA6|GLIS3_HUMAN	42.8	138	47	2	281	417	322	428	3.23e-26	117
evm.model.chr7.9	sp|Q95RA9|GILT1_DROME	33.3	201	123	6	35	228	24	220	1.42e-27	108
evm.model.chr7.10	sp|Q9W5N0|COA7_DROME	35.7	263	135	3	4	233	3	264	2.09e-58	188
evm.model.chr7.11.1.6720f719	sp|P46873|OSM3_CAEEL	39.8	518	254	11	2	500	107	585	1.42e-94	311
evm.model.chr7.12.2.6720f71b	sp|Q7JUN3|ABCD1_DROME	54.1	527	219	8	1	520	211	721	1.57e-175	516
evm.model.chr7.15	sp|P13360|GLAS_DROME	44.7	94	37	3	255	333	372	465	1.41e-11	70.1
evm.model.chr7.16.1.6720f71d	sp|O46036|CTBP_DROME	90.4	363	29	2	1	363	1	357	1.74e-236	654
evm.model.chr7.18.1.6720f71f	sp|Q7SXR3|MAEA_DANRE	58.4	329	135	1	16	344	70	396	3.76e-142	410
evm.model.chr7.19.4.6720f720	sp|Q99808|S29A1_HUMAN	30.1	449	263	9	40	443	7	449	4.41e-48	174
evm.model.chr7.20	sp|Q6NRG5|NDOR1_XENLA	43.9	606	312	11	2	590	5	599	7.13e-168	493
evm.model.chr7.21	sp|Q9VH90|TRBID_DROME	49.7	817	284	17	28	760	5	778	8.89e-259	738
evm.model.chr7.22	sp|Q9VCZ3|OCTB1_DROME	66.6	332	97	2	48	378	103	421	1.23e-154	450
evm.model.chr7.30	sp|Q297A7|HGH1_DROPS	48.1	370	182	3	1	365	1	365	5.41e-116	344
evm.model.chr7.31.4.6720f725	sp|Q8K1N1|PLPL8_MOUSE	47.1	429	218	4	155	582	346	766	2.02e-125	390
evm.model.chr7.33	sp|Q4LBB6|OCTB3_DROME	73.1	212	57	0	61	272	141	352	4.55e-96	312
evm.model.chr7.37	sp|Q9VCZ3|OCTB1_DROME	55.6	340	119	4	62	401	117	424	5.79e-120	361
evm.model.chr7.39.7.6720f72c	sp|Q4LBB9|OCTB2_DROME	61.8	314	109	5	40	348	144	451	5.55e-121	364
evm.model.chr7.42	sp|A9ZSY3|TRET1_BOMMO	30.0	434	293	7	10	440	59	484	1.38e-52	187
evm.model.chr7.46.1.6720f730	sp|Q7L273|KCTD9_HUMAN	51.1	223	101	3	2	222	20	236	5.46e-64	211
evm.model.chr7.47.2.6720f730	sp|Q96IK1|BOD1_HUMAN	47.7	149	72	1	6	154	41	183	7.34e-37	140
evm.model.chr7.50	sp|Q9VN03|SUV3_DROME	57.0	682	290	2	44	722	44	725	1.38e-288	813
evm.model.chr7.55	sp|Q01603|PERO_DROME	55.1	579	258	1	877	1453	97	675	3.96e-221	662
evm.model.chr7.56	sp|P96710|ARAE_BACSU	26.5	268	161	7	69	328	57	296	7.26e-13	74.3
evm.model.chr7.57	sp|Q5XIB5|CCD86_RAT	54.1	111	50	1	50	159	216	326	1.03e-20	89.7
evm.model.chr7.58	sp|Q3YK19|FANCJ_CHICK	34.8	885	415	21	192	933	10	875	1.66e-144	465
evm.model.chr7.84.4.6720f73b	sp|Q8IR79|LIMK1_DROME	54.0	507	187	9	30	495	224	725	4.92e-155	494
evm.model.chr7.86	sp|P05090|APOD_HUMAN	31.1	193	117	5	1	187	3	185	3.52e-20	88.6
evm.model.chr7.87	sp|P23572|CDK1_DROME	79.2	288	60	0	1	288	1	288	2.38e-171	479
evm.model.chr7.88_evm.model.chr7.89	sp|Q6NWI1|RSRC2_DANRE	44.3	122	56	5	261	379	285	397	6.73e-17	85.1
evm.model.chr7.92	sp|Q8N5T2|TBC19_HUMAN	39.5	357	199	7	38	384	23	372	5.57e-81	260
evm.model.chr7.93	sp|Q8N5T2|TBC19_HUMAN	54.7	117	53	0	1	117	386	502	3.21e-36	132
evm.model.chr7.94	sp|P57737|CORO7_HUMAN	32.6	1209	527	18	4	1210	3	925	2.57e-201	612
evm.model.chr7.96	sp|Q961D9|BCL9_DROME	25.3	1218	469	45	45	1052	236	1222	2.42e-34	147
evm.model.chr7.97	sp|Q6IQU7|INT12_DANRE	42.0	212	79	5	4	173	7	216	7.87e-24	103
evm.model.chr7.98	sp|Q9V4A7|PLXB_DROME	56.9	2035	704	25	104	2034	87	2051	0.0	2274
evm.model.chr7.99	sp|Q9CY58|SERB1_MOUSE	44.5	146	66	5	180	311	184	328	9.97e-19	90.9
evm.model.chr7.100	sp|Q0VDT2|ZN367_MOUSE	50.8	238	83	7	12	222	48	278	3.45e-34	136
evm.model.chr7.102	sp|Q9GV27|EIF3H_BOMMO	83.4	326	54	0	8	333	9	334	3.58e-197	547
evm.model.chr7.103	sp|Q8I4E2|LST4_CAEEL	37.1	593	286	11	5	539	3	566	7.83e-118	362
evm.model.chr7.104	sp|W0LYS5|CAMKI_MACNP	85.2	331	47	2	1	329	1	331	2.23e-205	570
evm.model.chr7.106	sp|Q5ZIH9|CC174_CHICK	29.9	344	190	10	1	309	1	328	5.84e-22	102
evm.model.chr7.108	sp|Q9NRA8|4ET_HUMAN	23.7	384	203	12	279	637	181	499	2.89e-06	55.5
evm.model.chr7.109	sp|Q8IH18|4ET_DROME	63.5	52	18	1	220	270	959	1010	4.19e-10	63.5
